revenue,product,sales,region
1311.85,Analytics,4,APAC
1559.6,Pro,8,APAC
912.26,Add-on,32,EMEA
4777.54,Enterprise,10,AMER
3143.57,Basic,63,AMER
698.2,Add-on,23,APAC
2036.12,Analytics,7,AMER
2471.93,Analytics,8,AMER
1025.71,Basic,22,AMER
1921.3,Pro,9,AMER
1846.98,Plus,19,APAC
423.28,Add-on,15,APAC
2463.39,Enterprise,5,AMER
3084.35,Analytics,11,EMEA
2379.56,Pro,12,EMEA
2379.49,Plus,23,APAC
1431.2,Pro,7,APAC
1825.03,Basic,39,EMEA
4663.21,Analytics,17,EMEA
3184.78,Enterprise,6,AMER
1815.1,Analytics,6,EMEA
1760.37,Plus,19,APAC
1088.65,Add-on,35,EMEA
1039.75,Add-on,37,EMEA
1292.33,Analytics,4,Nordics
1495.42,Basic,31,EMEA
1473.05,Pro,8,EMEA
1111.16,Basic,22,EMEA
1391.71,Basic,26,EMEA
1013.94,Enterprise,2,EMEA
2911.85,Analytics,10,EMEA
950.81,Add-on,34,EMEA
1551.11,Plus,14,EMEA
2163.9,Plus,21,AMER
1361.04,Pro,7,APAC
2053.3,Basic,40,AMER
3078.18,Basic,66,EMEA
2555.3,Pro,13,AMER
1984.35,Plus,21,APAC
1419.52,Enterprise,3,APAC
2346.1,Pro,12,EMEA
2751.25,Analytics,9,EMEA
1244.26,Analytics,4,EMEA
1258.55,Plus,12,EMEA
2061.68,Analytics,7,AMER
6005.0,Analytics,20,AMER
1398.26,Plus,13,EMEA
1684.01,Plus,17,AMER
6255.73,Enterprise,12,AMER
1556.16,Basic,32,EMEA
925.29,Basic,19,APAC
1276.48,Basic,26,EMEA
3027.81,Analytics,10,Nordics
2434.97,Enterprise,5,EMEA
3519.86,Analytics,12,APAC
1497.66,Analytics,5,Nordics
2428.19,Pro,12,Nordics
2459.98,Pro,13,APAC
709.51,Basic,15,APAC
1046.48,Basic,22,AMER
1001.14,Enterprise,2,APAC
2361.62,Pro,12,EMEA
1362.96,Pro,7,AMER
2449.27,Analytics,8,AMER
2802.83,Enterprise,6,APAC
1735.28,Pro,9,AMER
3826.19,Pro,18,AMER
1593.44,Plus,16,AMER
1408.94,Basic,29,EMEA
2388.72,Pro,12,EMEA
1940.58,Basic,39,AMER
2073.09,Plus,20,AMER
794.33,Add-on,27,EMEA
2017.91,Plus,20,AMER
1555.27,Basic,31,AMER
1545.66,Plus,16,EMEA
2247.07,Plus,21,AMER
1477.85,Enterprise,3,APAC
980.93,Pro,5,EMEA
3099.97,Analytics,10,Nordics
982.9,Enterprise,2,Nordics
2373.41,Plus,22,AMER
3399.19,Analytics,11,EMEA
2836.82,Basic,54,AMER
918.25,Basic,19,APAC
796.39,Basic,16,APAC
5680.6,Analytics,19,APAC
2880.36,Pro,14,AMER
1231.24,Basic,25,AMER
2043.99,Pro,10,EMEA
1429.75,Basic,26,APAC
1980.66,Enterprise,4,EMEA
1540.71,Pro,8,APAC
1076.52,Plus,11,APAC
1249.25,Plus,13,EMEA
1955.25,Enterprise,4,AMER
1171.56,Plus,12,EMEA
1137.16,Basic,23,APAC
1284.64,Basic,25,EMEA
537.62,Add-on,18,Nordics
892.12,Add-on,33,EMEA
3005.82,Enterprise,6,Nordics
941.06,Plus,10,APAC
601.82,Add-on,21,AMER
1142.53,Analytics,4,APAC
2421.69,Analytics,9,APAC
1004.16,Pro,5,Nordics
1980.13,Plus,20,EMEA
1064.28,Basic,22,AMER
1107.15,Add-on,34,EMEA
5940.47,Pro,33,AMER
946.67,Basic,21,EMEA
2122.4,Plus,21,AMER
2258.27,Pro,11,AMER
1702.91,Basic,35,AMER
962.81,Add-on,32,AMER
1458.66,Analytics,5,APAC
1517.24,Analytics,5,APAC
2686.6,Pro,14,AMER
938.35,Enterprise,2,AMER
2059.4,Pro,11,Nordics
2572.12,Enterprise,5,EMEA
1340.56,Basic,26,EMEA
2698.49,Plus,26,EMEA
1086.12,Basic,23,APAC
2379.4,Pro,11,AMER
1235.27,Plus,12,APAC
1079.89,Basic,23,APAC
1794.03,Basic,34,EMEA
3470.31,Pro,18,APAC
2446.19,Basic,56,APAC
1841.22,Add-on,68,EMEA
3612.39,Pro,18,AMER
1303.58,Plus,13,EMEA
3192.51,Pro,16,EMEA
1169.48,Basic,23,EMEA
626.91,Add-on,22,Nordics
3693.6,Pro,17,AMER
3943.93,Analytics,13,AMER
799.18,Basic,18,APAC
2443.95,Pro,12,AMER
1873.02,Pro,9,Nordics
949.44,Add-on,35,APAC
1629.11,Pro,8,AMER
2913.64,Pro,14,AMER
2319.92,Plus,23,Nordics
2801.25,Plus,27,APAC
2822.83,Pro,15,Nordics
3205.5,Pro,15,EMEA
819.83,Basic,18,APAC
928.16,Analytics,3,AMER
1160.02,Add-on,39,EMEA
1718.95,Basic,33,AMER
1880.15,Pro,9,APAC
1745.53,Basic,36,EMEA
2588.0,Enterprise,5,AMER
2181.71,Plus,24,APAC
3744.27,Enterprise,7,EMEA
3333.79,Analytics,10,AMER
3884.39,Analytics,13,AMER
1008.9,Basic,21,EMEA
466.66,Add-on,16,Nordics
1963.58,Plus,19,APAC
1187.25,Basic,25,EMEA
2022.86,Pro,10,Nordics
1580.58,Plus,16,APAC
1729.88,Analytics,6,EMEA
3082.28,Analytics,10,APAC
1584.98,Plus,17,EMEA
371.75,Add-on,14,Nordics
2166.57,Plus,22,APAC
1826.42,Pro,9,APAC
1360.67,Plus,14,EMEA
993.92,Add-on,33,APAC
1480.28,Basic,30,EMEA
1328.45,Basic,28,EMEA
3847.38,Pro,21,EMEA
666.57,Add-on,23,APAC
1908.42,Add-on,74,EMEA
891.65,Analytics,3,Nordics
854.72,Add-on,31,APAC
804.94,Add-on,28,EMEA
2361.69,Pro,11,EMEA
2210.45,Plus,21,EMEA
2599.77,Analytics,9,AMER
2000.65,Enterprise,4,APAC
2301.28,Plus,22,EMEA
3036.75,Basic,66,APAC
3897.39,Analytics,13,EMEA
1529.02,Plus,16,APAC
824.78,Add-on,29,Nordics
1444.62,Plus,16,APAC
1135.06,Basic,24,APAC
5673.4,Analytics,20,APAC
2288.69,Basic,48,EMEA
1701.69,Basic,35,EMEA
2985.15,Pro,16,EMEA
873.85,Add-on,33,AMER
1289.09,Basic,26,APAC
1977.39,Plus,19,AMER
2781.05,Analytics,10,APAC
564.65,Add-on,20,EMEA
2781.71,Pro,14,APAC
1281.02,Basic,25,EMEA
1182.55,Basic,24,EMEA
1017.57,Plus,11,APAC
712.25,Basic,15,Nordics
3357.19,Enterprise,7,AMER
1362.1,Basic,28,EMEA
1588.69,Pro,7,AMER
3768.16,Enterprise,8,EMEA
2271.85,Pro,13,APAC
1603.24,Basic,31,APAC
1178.01,Analytics,4,EMEA
1528.07,Analytics,5,EMEA
3213.0,Analytics,11,EMEA
915.92,Basic,18,Nordics
1114.32,Basic,22,AMER
947.24,Add-on,32,APAC
2052.11,Plus,21,AMER
2278.25,Plus,23,AMER
2066.6,Pro,11,EMEA
482.99,Enterprise,1,Nordics
1427.83,Add-on,51,EMEA
1310.84,Plus,14,AMER
1049.44,Add-on,35,APAC
1333.46,Basic,28,AMER
1555.64,Pro,8,Nordics
1007.96,Enterprise,2,EMEA
1553.68,Basic,33,AMER
2214.8,Basic,49,AMER
1828.84,Plus,19,AMER
1639.0,Add-on,60,EMEA
2719.63,Pro,13,EMEA
1336.9,Add-on,51,EMEA
2509.34,Analytics,9,EMEA
3460.7,Pro,18,AMER
2698.59,Analytics,9,AMER
1188.66,Basic,24,AMER
1642.15,Basic,34,AMER
